序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url,cover
48,阿修罗,7.2,犯罪,动作,14,17,6,0.307692308,#100E0E,0.265804196,#A0978B,0.179440559,#3D3733,0.149440559,#6A625A,0.097622378,#D3CECB,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2375744186.jpg,https://movie.douban.com/subject/26389331/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2375744186.jpg
49,特工强档,6.7,喜剧,爱情,14,36,8,0.331888112,#150F0D,0.225804196,#7D7165,0.203146853,#E0D9CF,0.133356643,#B83912,0.105804196,#D8CEC3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p547520080.jpg,https://movie.douban.com/subject/3736691/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p547520080.jpg
50,狼少年,7.8,爱情,奇幻,14,40,14,0.29034965,#231915,0.226993007,#4B392D,0.195314685,#775D4B,0.145664336,#AF9C85,0.141678322,#726F4B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159648145.jpg,https://movie.douban.com/subject/6844868/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159648145.jpg
51,平行理论,6.4,悬疑,犯罪,14,43,3,0.320769231,#070504,0.236503497,#C9C5C3,0.234895105,#F6F5F4,0.126503497,#968982,0.081328671,#A6ABB2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p506233510.jpg,https://movie.douban.com/subject/4129619/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p506233510.jpg
52,摇滚七十年代,7.6,音乐,,14,60,64,0.242307692,#A45942,0.211048951,#F2EBC2,0.200699301,#4D3537,0.197482517,#B5926E,0.148461538,#8A8E8E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p825526174.jpg,https://movie.douban.com/subject/3077410/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p825526174.jpg
53,请点赞,6.5,爱情,喜剧,15,5,94,0.434265734,#EFE7E4,0.18006993,#C2B3B5,0.176853147,#8B7677,0.133566434,#2F2927,0.075244755,#855E57,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2306039647.jpg,https://movie.douban.com/subject/26340302/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2306039647.jpg
54,假日,7.6,犯罪,剧情,15,18,10,0.27006993,#1A1615,0.247902098,#D6E3E2,0.190769231,#5C4F4B,0.185874126,#AE9889,0.105384615,#CAC0B1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480195760.jpg,https://movie.douban.com/subject/1761813/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480195760.jpg
55,不可饶恕,7.7,惊悚,,15,20,7,0.251538462,#12100F,0.249160839,#332C28,0.224825175,#575148,0.179230769,#868377,0.095244755,#404754,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2407347002.jpg,https://movie.douban.com/subject/3992381/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2407347002.jpg
56,棒球之爱,7.8,运动,,15,29,8,0.284265734,#140F0E,0.250839161,#3F3732,0.167272727,#716964,0.162377622,#DDE0DD,0.135244755,#5F2914,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p772309528.jpg,https://movie.douban.com/subject/5299006/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p772309528.jpg
57,嚎叫,6.5,惊悚,,15,36,5,0.344545455,#0D0A08,0.182307692,#A99C91,0.178111888,#3E2F29,0.154195804,#7B6257,0.140839161,#7899B1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1562644972.jpg,https://movie.douban.com/subject/5387021/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1562644972.jpg
58,喜马拉雅,7.2,剧情,,15,36,56,0.308251748,#8E695C,0.243356643,#1D1E21,0.202377622,#3A464E,0.131538462,#7F888E,0.114475524,#636D53,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275273323.jpg,https://movie.douban.com/subject/24849892/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275273323.jpg
59,神之一手,6.6,动作,犯罪,15,42,26,0.331258741,#432E27,0.221888112,#744D3F,0.158391608,#1B1512,0.15020979,#B18971,0.138251748,#665F5A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2182978810.jpg,https://movie.douban.com/subject/24756658/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2182978810.jpg
60,暗杀,8,历史,动作,15,46,36,0.302027972,#5B3C32,0.277762238,#271918,0.225454545,#916A54,0.142167832,#CAB09D,0.052587413,#BBAEAF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2265025290.jpg,https://movie.douban.com/subject/25823132/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2265025290.jpg
61,猪堕井的那天,7.2,剧情,,16,3,96,0.374895105,#F6F1EF,0.288531469,#060303,0.13972028,#CCB9BB,0.100979021,#462628,0.095874126,#C7AE9C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p606115055.jpg,https://movie.douban.com/subject/1308027/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p606115055.jpg
62,机器人SORI,6.9,科幻,,16,11,16,0.27979021,#282524,0.259160839,#534943,0.178811189,#7E7168,0.158881119,#AE9F8F,0.123356643,#D6AB41,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2299146806.jpg,https://movie.douban.com/subject/26324882/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2299146806.jpg
63,两个婚礼一个葬礼,6.4,同性,喜剧,16,33,15,0.288531469,#271D1A,0.249160839,#EFECE5,0.237132867,#735F55,0.199160839,#B6A59A,0.026013986,#D1BAA5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1562724727.jpg,https://movie.douban.com/subject/6965615/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1562724727.jpg
64,纯情,7.2,爱情,剧情,16,41,84,0.34958042,#D5957E,0.27034965,#B06247,0.217482517,#EBBEA7,0.126713287,#432018,0.035874126,#742F21,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2314222118.jpg,https://movie.douban.com/subject/26416169/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2314222118.jpg
65,空房间,8,爱情,剧情,16,50,53,0.278531469,#865543,0.240629371,#54342E,0.204965035,#B88662,0.190979021,#180C0C,0.084895105,#9F6E51,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462432458.jpg,https://movie.douban.com/subject/1308833/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462432458.jpg
66,嫌疑人,7.3,动作,动作,17,7,20,0.264685315,#343130,0.263356643,#181717,0.237202797,#514D4A,0.141538462,#857E76,0.093216783,#815946,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159702691.jpg,https://movie.douban.com/subject/10563779/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159702691.jpg
67,我脑中的橡皮擦,7.8,爱情,剧情,17,37,39,0.258671329,#63493E,0.23986014,#070504,0.213916084,#C5AC95,0.167272727,#997864,0.12027972,#DFCCAF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465680286.jpg,https://movie.douban.com/subject/1308804/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465680286.jpg
68,情书,8.1,剧情,爱情,18,6,94,0.283006993,#F0E7E3,0.280979021,#D2C9C2,0.170769231,#191B23,0.151188811,#A49990,0.114055944,#C4845D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1705689248.jpg,https://movie.douban.com/subject/1433068/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1705689248.jpg
69,夏夏夏,7.6,爱情,剧情,18,25,81,0.282167832,#CEAB9B,0.274825175,#715145,0.274615385,#272628,0.109160839,#4B593C,0.059230769,#5B62A5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450181989.jpg,https://movie.douban.com/subject/3789917/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450181989.jpg
70,高地战,8.4,战争,剧情,18,26,9,0.266083916,#161210,0.195524476,#685B54,0.192937063,#D9D6D6,0.191328671,#3B322E,0.154125874,#40393A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1018163890.jpg,https://movie.douban.com/subject/4328443/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1018163890.jpg
71,捉迷藏,6.7,惊悚,悬疑,18,48,3,0.443006993,#090604,0.202657343,#634E3B,0.154895105,#312A21,0.132517483,#A88F75,0.066923077,#AD2B27,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2040176434.jpg,https://movie.douban.com/subject/24839091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2040176434.jpg
72,黑司祭们,6.5,悬疑,剧情,19,4,9,0.423496503,#161515,0.246993007,#2C2A28,0.126013986,#89837C,0.124685315,#534D47,0.078811189,#9C9D92,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2267618116.jpg,https://movie.douban.com/subject/26279229/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2267618116.jpg
73,南方大作战,7.4,喜剧,剧情,19,5,13,0.342867133,#222120,0.243846154,#5A5044,0.229300699,#A5A48F,0.135944056,#E6E4DC,0.048041958,#674F42,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1840765170.jpg,https://movie.douban.com/subject/10558411/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1840765170.jpg
74,鸣梁海战,7,战争,剧情,19,6,9,0.24006993,#171616,0.225104895,#3C3D3A,0.20034965,#626964,0.197132867,#88918D,0.137342657,#897E9C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213003660.jpg,https://movie.douban.com/subject/7065161/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213003660.jpg
75,奸臣,6.4,情色,古装,19,37,68,0.272377622,#AE826E,0.243636364,#7F5141,0.198321678,#D6BBAA,0.182727273,#341C18,0.102937063,#CFBAB9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2235239810.jpg,https://movie.douban.com/subject/25823840/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2235239810.jpg
76,悲伤电影,7.8,爱情,喜剧,20,5,16,0.295314685,#282626,0.261888112,#AA8E6A,0.198951049,#7F6453,0.186993007,#50423D,0.056853147,#CD983D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1825817370.jpg,https://movie.douban.com/subject/1459368/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1825817370.jpg
